tsr,t1,t2
1,12.5,24.5
1.25,12.5,24.5
1.5,12.5,24.5
1.75,12.5,24.5
2,11.5,24.5
2.25,11.5,24.5
2.5,11.5,24.5
2.6,11.5,24.5
2.7,11.5,24.5
2.8,11.5,24.5
2.9,11.5,24.5
3,11.5,24.5
3.1,11.5,24.5
3.2,11.5,24.5
3.3,11.5,24.5
3.4,11.5,24.5
3.5,11.5,24.5
3.6,11.5,24.5
3.7,11.5,24.5
3.8,11.5,24.5
3.9,11.5,24.5
4,11.5,24.5
4.1,11.5,24.5
4.2,11.5,24.5
4.25,11.5,24.5
4.3,11.5,24.5
4.4,11.5,24.5
4.5,11,24.5
4.6,11,24.5
4.7,11,24.5
4.75,11,24.5
4.8,11,24.5
4.9,11,24.5
5,11,24.5
5.25,11,24.5
5.5,11,24.5
5.75,11,24.5
6,11,24.5
6.5,11,24.5
7,11,24.5
7.5,11,24.5
8,11,24.5
