tsr,t1,t2
1,12.5,31
1.1,12.5,31
1.2,12.5,31
1.3,12.5,31
1.4,12.5,31
1.5,12.5,31
1.6,12.5,31
1.7,12.5,31
1.8,12.5,31
1.9,12.5,31
2,12.5,31
2.1,12.5,31
2.15,12.5,31
2.2,12.5,31
2.3,12.5,31
2.4,12.5,31
2.45,12.5,31
2.5,12.5,31
2.55,12.5,31
2.6,12.5,31
2.7,12.5,31
2.8,12.5,31
2.9,12.5,31
3,12.5,31
3.2,12.5,31
3.4,12.5,31
3.5,12.5,31
3.6,12.5,31
3.7,12.5,31
3.8,12,31
3.9,12,31
4,12,31
4.1,12,31
4.2,12,31
4.3,12,31
4.4,12,31
4.5,12,31
4.6,12,31
4.7,12,31
4.8,12,31
4.9,12,31
5,12,31
5.2,12,31
5.4,12,31
5.5,12,31
5.6,11.5,31
5.8,11.5,31
6,11.5,31
6.2,11.5,31
6.4,11.5,31
6.5,11.5,31
6.6,11.5,31
6.8,11.5,31
7,11.5,31
7.2,11.5,31
7.4,11.5,31
7.5,11.5,31
7.6,11.5,31
7.8,11.5,31
8,11,31
