run,tow_speed_nom,TSR_nom,num_revs,water_dens,Re_c,lead_lag,flapwise,thrust,torque,mean_tow_speed,std_tow_speed,mean_TSR,std_TSR_per_rev,mean_CP,std_CP_per_rev,mean_CT,std_CT_per_rev,mean_CQ,std_CQ_per_rev,mean_CMx,std_CMx_per_rev,mean_CMy,std_CMy_per_rev,std_omega_per_rev,TSR_p,CP_p,CT_p,U_inf_p,Re_c_p,sys_unc_CP,unc_CP,exp_unc_CP,sys_unc_CT,unc_CT,exp_unc_CT,sys_unc_CQ,unc_CQ,exp_unc_CQ,sys_unc_CMx,unc_CMx,exp_unc_CMx,sys_unc_CMy,unc_CMy,exp_unc_CMy,DOF_TSR,DOF_CP,DOF_CT,DOF_CQ,DOF_CMx,DOF_CMy
0,2,3.8,15,996.718792824108,408557.500963398,27.8731502358996,108.15244393951,1118.91737037975,88.6561959450031,2.00001337516513,0.000192903515399707,3.79996806938806,0.000392808132940972,0.430351194039977,0.00220014325924782,0.714653488996655,0.0023623015930894,0.113251322879375,0.000578754886447436,0.0356102195647202,0.000146023043429796,0.138157466777658,0.000697411667712471,7.01139715597132e-05,3.68784341021737,0.393369412205063,0.67310151492888,2.06082149337479,410112.417648952,0.00223978988033262,0.0023156895343625,0.00424273168147291,0.00145973153568427,0.00159041537711574,0.0041640351675541,0.000589422501626685,0.000840417526961202,0.00153980228076796,5.82344803930259e-05,7.01021168957078e-05,0.000123090016401051,0.000548003805621519,0.000578834878251117,0.00105178608733852,14.7477693121817,9.04096469289512,10.8484285044996,9.04011517895374,14.6422508285666,9.75586153618691
1,1.6,3,15,996.724485463554,267343.737575117,20.3722767511835,59.4419353235643,644.322470324607,66.2465981322025,1.59996230102761,0.00020375260799155,3.00006841395221,0.000314857833633373,0.396707720033005,0.00175377277641052,0.643048265348981,0.0015254386180976,0.132232404565449,0.000584598847365201,0.0406645306059804,0.000295977420410044,0.118650671850866,0.000181967234956856,6.05897035011292e-05,2.93004810979706,0.369574016880226,0.613381617667566,1.6381971158691,268533.277809907,0.0027631367975963,0.0028026093507735,0.00517718199538802,0.00228095219718577,0.0023171004654755,0.00517360884037499,0.000921023064251618,0.00110202106453242,0.00203573176556957,9.09962907201978e-05,0.000120572201943576,0.000209007896089717,0.000856302500957768,0.000857682412861533,0.00159366427349117,15.7284677539615,8.43200008278335,8.47987850421804,8.43203309257158,18.1151416469347,8.04819905448397
2,1.6,2.4,12,996.726236516584,224653.783811548,19.7804565548941,45.6985944308312,527.321808289789,65.1440871195601,1.59995360961206,0.000229683850372215,2.40011581498297,0.000193536311415549,0.312114576882433,0.00129497624435047,0.526313675217173,0.00136443316665017,0.130039950845631,0.00054306703556718,0.0394838037696242,0.000290451330073569,0.0912219652746782,0.000281634054236757,0.000103997403521474,2.35833929970362,0.296098577506789,0.508151057360035,1.62829579363393,225703.209098396,0.00221054847952929,0.00224476631416415,0.004145070619515,0.00228097180237987,0.00231777389009887,0.00414390079113156,0.000921031440500578,0.00108168007872279,0.00199720222382657,9.09970991760365e-05,0.000126292290049071,0.000219035955952867,0.000856310168660614,0.000860510202515836,0.00159648993357327,13.7721267300043,8.45908633505637,8.47872379752094,8.46509756523629,17.943910239428,8.14439585106016
3,1.8,5.5,29,996.723590046872,514493.28408268,15.1766176818326,99.7009815017643,958.395278965129,45.6070538027253,1.79996469791076,0.000235059443135573,5.5002056781476,0.000970129488526887,0.395638207272591,0.0060142249387258,0.75577596945116,0.00641118721956098,0.0719286423838644,0.00109921089196497,0.0239356743808088,0.000376005817353868,0.157244248171409,0.00116444600268172,8.55994061946475e-05,5.32763990212944,0.359555572513826,0.709095851884242,1.8582667435832,515565.7812364,0.0040025427415622,0.00416078914543916,0.00760124909797829,0.00180222331060726,0.00217163179002273,0.00727412144154627,0.000727716649289086,0.00133453677853944,0.00243763612554021,7.18976429494067e-05,0.000101086943556223,0.000172923433820612,0.000676580265625823,0.000711468261929513,0.0012937235729526,28.635060473478,9.2781117695248,15.6537529978989,9.29189347568289,24.084728845526,9.68884564454345
4,1.6,3.1,14,996.726765372834,274571.974930844,20.1794124191878,61.1477052186673,658.038710468938,65.377215852634,1.59997659855647,0.000200582222702062,3.10004720979427,0.000291837844685206,0.404540378118016,0.00169085343058054,0.656738092439774,0.00150101922128314,0.130494955376716,0.000544798344531652,0.0402782903424516,0.000355121420092762,0.122052196462844,0.000280581750563075,7.94362120270945e-05,3.02526870660662,0.375966213369265,0.625436902185303,1.63952477320755,275770.39119348,0.00285515765327275,0.00289341444888547,0.00534721288556536,0.00228090636674632,0.00231858708306682,0.00533988203709145,0.000921004487259717,0.00108068759305073,0.00199720625116815,9.0994449590446e-05,0.000134092703621735,0.000231173009456946,0.000856285257059507,0.0008598141059239,0.0015957355520931,14.7524229397642,8.40259018624399,8.49758781630083,8.4016571277652,20.1783480083119,8.12288480555387
5,1.6,5.5,30,996.726076032067,457214.443535687,12.0402445382226,78.8520259251774,758.0432598135,35.9266105187842,1.5999685369387,0.000188036612178269,5.50017141395711,0.00118509453563174,0.394420371422317,0.00395558851051248,0.756548436424761,0.00393818675813959,0.0717119338217529,0.000718739195847543,0.0240333288432664,0.000331635490709019,0.157396661748398,0.000740189975271143,8.87644448976376e-05,5.33224838755922,0.359386516132328,0.711058008313459,1.65035470414932,458138.528931669,0.00506570078228176,0.00511867806384457,0.00947011825731206,0.00228093213742549,0.002395298599143,0.00931241902368235,0.000921014153346637,0.0011758683658248,0.00217549911281354,9.09952052299203e-05,0.000109875445559215,0.000191980281848318,0.000856294703531431,0.000867256060486569,0.0016027570647401,29.5777987671787,8.32754925557039,9.64261516746319,8.32714459567807,15.7980189787624,8.40203439198679
6,1.7,4,21,996.725702164745,363094.229115921,19.3990772285841,79.9913549442187,820.644684249002,61.2168464769483,1.6999884280594,0.000225733444192796,4.00009762578393,0.000856868004303605,0.432975594736624,0.00399310504398932,0.725509635340041,0.00373197051206897,0.108240533411597,0.00100401714032817,0.034303890997427,0.000307099515111235,0.141435634722966,0.00061597295011068,9.53876045908102e-05,3.88490679461232,0.396637211809598,0.684326267762366,1.75039454855676,364331.831619874,0.00326332551638294,0.0033832732405894,0.00618939866807369,0.0020204286460286,0.00218598081163612,0.00609171816759787,0.00081582592578992,0.00131302127940235,0.00240165707396917,8.060284947091e-05,0.000105888266356142,0.000182992042165704,0.000758497842768628,0.000770902141162167,0.00142253164823405,20.4400593913324,9.16281492584792,10.6977190902539,9.1764723230002,19.210900415116,8.50700996006722
7,1.8,4.7,25,996.726318300071,444624.902014803,18.5726250735671,95.1991232536697,946.384076698533,57.2984257629267,1.79995686049183,0.000216215499826859,4.70014677410441,0.000743389836941689,0.42475197988,0.0044117108212883,0.746289775418753,0.00460732194810104,0.0903679859389258,0.00094297149456351,0.0292937761570518,0.00037488837295567,0.150148253588066,0.000777763959286124,0.000103024991517866,4.55589563902018,0.386832053552622,0.701184303960633,1.856948029913,445831.830292205,0.00342037878740027,0.00353694181434748,0.00647657291480577,0.00180223395031775,0.00203286075738625,0.00628508347344953,0.000727721058119422,0.00120657489599223,0.00220910573771367,7.18981334609627e-05,0.000105001089371633,0.000179355501168871,0.000676584255867748,0.000694961237027302,0.00127624091854904,24.7638527289433,9.0867592348419,12.4458807340788,9.09700912892222,25.0041311237791,8.85983063505064
8,2,4.4,18,996.725206374047,465290.554549239,24.7135435527254,115.200074761062,1161.19480834731,77.0389618202216,2.00001464303463,0.000192448747738526,4.39999246175982,0.000518619236678635,0.433011683655532,0.0040074694369867,0.741669005013728,0.00393282479422724,0.098410828930923,0.000913331884442157,0.0315673246596399,0.00028328436056641,0.147157747945808,0.000678127916019367,0.00010047229824089,4.26177717011767,0.393473993608079,0.69580531551984,2.06487786702341,466746.888628574,0.00259343645881357,0.00276958615095704,0.00501082821300477,0.00145972062887563,0.00174373574978156,0.00486322281335686,0.000589417895003509,0.00110935013023318,0.00200683052018339,5.82339736472104e-05,9.00654518919593e-05,0.000154186420332291,0.000547999643224818,0.000572148624410364,0.00104391037163365,17.6422883901299,10.1789304025072,14.6334525623494,10.191326632939,23.6367931525693,9.38709129747703
9,1.8,6.5,35,996.72663846581,602386.834055842,10.9783292905541,101.903484439967,932.144749369501,30.82261545708,1.79996476212155,0.000226621515987525,6.50014237181354,0.00122607237919682,0.315998429788605,0.00589009321081652,0.735048835108215,0.00566634982515163,0.0486132630684292,0.000907066312662458,0.0173200545534419,0.000292879718283069,0.160716154578748,0.000968390475865687,0.000134227272965296,6.30579661457527,0.288493607576266,0.691751920622387,1.85543999167274,603252.894117115,0.00473024252374152,0.00483689802568002,0.00889904664935369,0.0018022174057906,0.00204751713333236,0.00857014839032455,0.000727714312093779,0.00117325892816611,0.00215854804900204,7.18973593002551e-05,8.77047786459738e-05,0.000152832289728956,0.000676578173273159,0.000696663328015147,0.00127776568103222,34.6184637475642,8.72048282055278,12.9147862319185,8.72196508003,16.5108716509864,8.95670800803393
